,doch,aber,allerdings,jedoch,andererseits,hingegen
,8131,12169,1407,1202,1541,118
after all,289,29,5,2,1,1
again,156,270,23,23,16,0
albeit,17,53,43,8,1,0
alternatively,0,11,0,0,2,0
although,588,1155,195,108,22,5
apart from that,2,1,0,0,1,0
at the same time,44,364,21,28,66,1
but,9649,47664,1322,2363,353,46
by contrast,0,2,1,1,3,6
by the same token,0,1,0,0,3,0
even if,73,39,9,3,0,0
even so,15,23,4,2,0,0
having said that,17,21,30,4,9,0
having said this,3,4,4,1,0,0
however,2213,9311,3969,3309,182,97
instead,62,100,4,7,2,13
nevertheless,250,485,303,169,11,3
nonetheless,124,197,83,61,3,5
on the contrary,19,13,1,2,1,9
on the other hand,24,189,40,25,1107,109
on the other side,1,2,0,0,9,0
otherwise,32,45,4,2,16,1
still,416,706,105,108,46,6
though,337,1391,245,96,18,3
whereas,76,72,1,3,9,12
yet,836,1117,138,165,36,2
